threshold,recall,specificity,precision,f1,balanced_accuracy
0.05,1.0,0.15073529411764705,0.36538461538461536,0.5352112676056338,0.5753676470588235
0.055,1.0,0.19852941176470587,0.3789173789173789,0.5495867768595041,0.5992647058823529
0.06,1.0,0.23161764705882354,0.3888888888888889,0.56,0.6158088235294118
0.065,1.0,0.2536764705882353,0.3958333333333333,0.5671641791044776,0.6268382352941176
0.07,1.0,0.2757352941176471,0.403030303030303,0.5745140388768899,0.6378676470588236
0.075,1.0,0.29411764705882354,0.40923076923076923,0.5807860262008734,0.6470588235294118
0.08,1.0,0.3161764705882353,0.4169278996865204,0.588495575221239,0.6580882352941176
0.085,1.0,0.33088235294117646,0.4222222222222222,0.59375,0.6654411764705882
0.09,1.0,0.35661764705882354,0.4318181818181818,0.6031746031746031,0.6783088235294118
0.095,1.0,0.36764705882352944,0.4360655737704918,0.6073059360730594,0.6838235294117647
0.1,1.0,0.3786764705882353,0.44039735099337746,0.6114942528735632,0.6893382352941176
0.105,1.0,0.39705882352941174,0.4478114478114478,0.6186046511627907,0.6985294117647058
0.11,1.0,0.4007352941176471,0.44932432432432434,0.62004662004662,0.7003676470588236
0.115,1.0,0.4227941176470588,0.4586206896551724,0.6288416075650118,0.7113970588235294
0.12,1.0,0.4522058823529412,0.4716312056737589,0.6409638554216868,0.7261029411764706
0.125,1.0,0.46691176470588236,0.4784172661870504,0.6472019464720195,0.7334558823529411
0.13,1.0,0.47794117647058826,0.48363636363636364,0.6519607843137255,0.7389705882352942
0.135,1.0,0.49264705882352944,0.4907749077490775,0.6584158415841584,0.7463235294117647
0.14,0.9924812030075187,0.5,0.4925373134328358,0.6583541147132169,0.7462406015037594
0.145,0.9924812030075187,0.5110294117647058,0.4981132075471698,0.6633165829145728,0.7517553073861123
0.15,0.9849624060150376,0.5220588235294118,0.5019157088122606,0.6649746192893401,0.7535106147722247
0.155,0.9849624060150376,0.5404411764705882,0.51171875,0.6735218508997429,0.7627017912428129
0.16,0.9849624060150376,0.5514705882352942,0.5177865612648221,0.6787564766839378,0.7682164971251659
0.165,0.9849624060150376,0.5625,0.524,0.6840731070496083,0.7737312030075187
0.17,0.9849624060150376,0.5735294117647058,0.5303643724696356,0.6894736842105263,0.7792459088898718
0.175,0.9774436090225563,0.5808823529411765,0.5327868852459017,0.6896551724137931,0.7791629809818664
0.18,0.9774436090225563,0.5845588235294118,0.5349794238683128,0.6914893617021277,0.7810012162759841
0.185,0.9774436090225563,0.5919117647058824,0.5394190871369294,0.6951871657754011,0.7846776868642193
0.19,0.9774436090225563,0.6029411764705882,0.5462184873949579,0.7008086253369272,0.7901923927465723
0.195,0.9774436090225563,0.6029411764705882,0.5462184873949579,0.7008086253369272,0.7901923927465723
0.2,0.9774436090225563,0.6066176470588235,0.5485232067510548,0.7027027027027027,0.7920306280406899
0.205,0.9774436090225563,0.6323529411764706,0.5652173913043478,0.7162534435261708,0.8048982750995135
0.21,0.9774436090225563,0.6397058823529411,0.5701754385964912,0.7202216066481995,0.8085747456877488
0.215,0.9774436090225563,0.6470588235294118,0.5752212389380531,0.724233983286908,0.8122512162759841
0.22,0.9774436090225563,0.6654411764705882,0.5882352941176471,0.7344632768361582,0.8214423927465723
0.225,0.9774436090225563,0.6764705882352942,0.5963302752293578,0.7407407407407407,0.8269570986289252
0.23,0.9774436090225563,0.6838235294117647,0.6018518518518519,0.7449856733524355,0.8306335692171605
0.235,0.9774436090225563,0.6875,0.6046511627906976,0.7471264367816092,0.8324718045112782
0.24,0.9774436090225563,0.6911764705882353,0.6074766355140186,0.7492795389048992,0.8343100398053958
0.245,0.9774436090225563,0.7095588235294118,0.6220095693779905,0.7602339181286549,0.8435012162759841
0.25,0.9774436090225563,0.7132352941176471,0.625,0.7624633431085044,0.8453394515701017
0.255,0.9774436090225563,0.7169117647058824,0.6280193236714976,0.7647058823529411,0.8471776868642193
0.26,0.9699248120300752,0.7205882352941176,0.6292682926829268,0.7633136094674556,0.8452565236620964
0.265,0.9699248120300752,0.7279411764705882,0.6354679802955665,0.7678571428571429,0.8489329942503316
0.27,0.9699248120300752,0.7352941176470589,0.6417910447761194,0.7724550898203593,0.852609464838567
0.275,0.9624060150375939,0.7389705882352942,0.6432160804020101,0.7710843373493976,0.850688301636444
0.28,0.9624060150375939,0.7389705882352942,0.6432160804020101,0.7710843373493976,0.850688301636444
0.285,0.9624060150375939,0.7463235294117647,0.649746192893401,0.7757575757575758,0.8543647722246793
0.29,0.9624060150375939,0.7647058823529411,0.6666666666666666,0.7876923076923077,0.8635559486952675
0.295,0.9624060150375939,0.7647058823529411,0.6666666666666666,0.7876923076923077,0.8635559486952675
0.3,0.9548872180451128,0.7683823529411765,0.6684210526315789,0.7863777089783281,0.8616347854931447
0.305,0.9548872180451128,0.7683823529411765,0.6684210526315789,0.7863777089783281,0.8616347854931447
0.31,0.9548872180451128,0.7757352941176471,0.675531914893617,0.7912772585669782,0.8653112560813799
0.315,0.9548872180451128,0.7830882352941176,0.6827956989247311,0.7962382445141066,0.8689877266696152
0.32,0.9548872180451128,0.7904411764705882,0.6902173913043478,0.8012618296529969,0.8726641972578505
0.325,0.9548872180451128,0.7977941176470589,0.6978021978021978,0.8063492063492064,0.8763406678460859
0.33,0.9548872180451128,0.8014705882352942,0.7016574585635359,0.8089171974522293,0.8781789031402034
0.335,0.9548872180451128,0.8051470588235294,0.7055555555555556,0.8115015974440895,0.8800171384343212
0.34,0.9398496240601504,0.8088235294117647,0.7062146892655368,0.8064516129032258,0.8743365767359575
0.345,0.9398496240601504,0.8125,0.7102272727272727,0.8090614886731392,0.8761748120300752
0.35,0.9323308270676691,0.8125,0.7085714285714285,0.8051948051948052,0.8724154135338346
0.355,0.9323308270676691,0.8161764705882353,0.7126436781609196,0.8078175895765473,0.8742536488279522
0.36,0.9323308270676691,0.8198529411764706,0.7167630057803468,0.8104575163398693,0.8760918841220698
0.365,0.924812030075188,0.8235294117647058,0.7192982456140351,0.8092105263157895,0.874170720919947
0.37,0.924812030075188,0.8272058823529411,0.7235294117647059,0.8118811881188119,0.8760089562140645
0.375,0.924812030075188,0.8272058823529411,0.7235294117647059,0.8118811881188119,0.8760089562140645
0.38,0.9097744360902256,0.8419117647058824,0.7378048780487805,0.8148148148148148,0.875843100398054
0.385,0.8947368421052632,0.8419117647058824,0.7345679012345679,0.8067796610169492,0.8683243034055728
0.39,0.8872180451127819,0.8455882352941176,0.7375,0.8054607508532423,0.8664031402034498
0.395,0.8872180451127819,0.8455882352941176,0.7375,0.8054607508532423,0.8664031402034498
0.4,0.8872180451127819,0.8529411764705882,0.7468354430379747,0.8109965635738832,0.870079610791685
0.405,0.8872180451127819,0.8566176470588235,0.7515923566878981,0.8137931034482758,0.8719178460858027
0.41,0.8872180451127819,0.8639705882352942,0.7612903225806451,0.8194444444444444,0.8755943166740381
0.415,0.8872180451127819,0.8676470588235294,0.7662337662337663,0.8222996515679443,0.8774325519681556
0.42,0.8796992481203008,0.8713235294117647,0.7697368421052632,0.8210526315789474,0.8755113887660327
0.425,0.8721804511278195,0.8713235294117647,0.7682119205298014,0.8169014084507042,0.8717519902697921
0.43,0.8721804511278195,0.8823529411764706,0.7837837837837838,0.8256227758007118,0.877266696152145
0.435,0.8721804511278195,0.8823529411764706,0.7837837837837838,0.8256227758007118,0.877266696152145
0.44,0.8721804511278195,0.8860294117647058,0.7891156462585034,0.8285714285714286,0.8791049314462627
0.445,0.8721804511278195,0.8860294117647058,0.7891156462585034,0.8285714285714286,0.8791049314462627
0.45,0.8721804511278195,0.8933823529411765,0.8,0.8345323741007195,0.882781402034498
0.455,0.8721804511278195,0.9007352941176471,0.8111888111888111,0.8405797101449275,0.8864578726227332
0.46,0.8721804511278195,0.9044117647058824,0.8169014084507042,0.8436363636363636,0.888296107916851
0.465,0.8721804511278195,0.9080882352941176,0.8226950354609929,0.8467153284671532,0.8901343432109685
0.47,0.8646616541353384,0.9117647058823529,0.8273381294964028,0.8455882352941176,0.8882131800088456
0.475,0.8646616541353384,0.9117647058823529,0.8273381294964028,0.8455882352941176,0.8882131800088456
0.48,0.8571428571428571,0.9154411764705882,0.8321167883211679,0.8444444444444444,0.8862920168067226
0.485,0.8571428571428571,0.9154411764705882,0.8321167883211679,0.8444444444444444,0.8862920168067226
0.49,0.8571428571428571,0.9154411764705882,0.8321167883211679,0.8444444444444444,0.8862920168067226
0.495,0.849624060150376,0.9191176470588235,0.837037037037037,0.8432835820895522,0.8843708536045998
0.5,0.849624060150376,0.9191176470588235,0.837037037037037,0.8432835820895522,0.8843708536045998
0.505,0.849624060150376,0.9227941176470589,0.8432835820895522,0.846441947565543,0.8862090888987174
0.51,0.8345864661654135,0.9264705882352942,0.8473282442748091,0.8409090909090909,0.8805285272003538
0.515,0.8345864661654135,0.9301470588235294,0.8538461538461538,0.844106463878327,0.8823667624944715
0.52,0.8270676691729323,0.9301470588235294,0.8527131782945736,0.8396946564885496,0.8786073639982308
0.525,0.8270676691729323,0.9338235294117647,0.859375,0.842911877394636,0.8804455992923486
0.53,0.8195488721804511,0.9338235294117647,0.8582677165354331,0.8384615384615385,0.8766862007961079
0.535,0.8045112781954887,0.9375,0.8629032258064516,0.8326848249027238,0.8710056390977443
0.54,0.7969924812030075,0.9375,0.8617886178861789,0.828125,0.8672462406015038
0.545,0.7969924812030075,0.9375,0.8617886178861789,0.828125,0.8672462406015038
0.55,0.7819548872180451,0.9411764705882353,0.8666666666666667,0.8221343873517787,0.8615656789031402
0.555,0.7744360902255639,0.9411764705882353,0.865546218487395,0.8174603174603174,0.8578062804068995
0.56,0.7593984962406015,0.9448529411764706,0.8706896551724138,0.8112449799196787,0.852125718708536
0.565,0.7593984962406015,0.9485294117647058,0.8782608695652174,0.8145161290322581,0.8539639540026537
0.57,0.7593984962406015,0.9522058823529411,0.8859649122807017,0.8178137651821862,0.8558021892967713
0.575,0.7518796992481203,0.9522058823529411,0.8849557522123894,0.8130081300813008,0.8520427908005307
0.58,0.7443609022556391,0.9522058823529411,0.8839285714285714,0.8081632653061225,0.8482833923042901
0.585,0.7368421052631579,0.9558823529411765,0.8909090909090909,0.8065843621399177,0.8463622291021672
0.59,0.7293233082706767,0.9558823529411765,0.8899082568807339,0.8016528925619835,0.8426028306059266
0.595,0.7142857142857143,0.9595588235294118,0.8962264150943396,0.7949790794979079,0.836922268907563
0.6,0.706766917293233,0.9595588235294118,0.8952380952380953,0.7899159663865546,0.8331628704113224
0.605,0.6992481203007519,0.9595588235294118,0.8942307692307693,0.7848101265822784,0.8294034719150818
0.61,0.6766917293233082,0.9595588235294118,0.8910891089108911,0.7692307692307693,0.81812527642636
0.615,0.6766917293233082,0.9632352941176471,0.9,0.7725321888412017,0.8199635117204777
0.62,0.6766917293233082,0.9632352941176471,0.9,0.7725321888412017,0.8199635117204777
0.625,0.6691729323308271,0.9632352941176471,0.898989898989899,0.7672413793103449,0.816204113224237
0.63,0.6691729323308271,0.9669117647058824,0.9081632653061225,0.7705627705627706,0.8180423485183548
0.635,0.6616541353383458,0.9669117647058824,0.9072164948453608,0.7652173913043478,0.814282950022114
0.64,0.6466165413533834,0.9705882352941176,0.9148936170212766,0.7577092511013216,0.8086023883237505
0.645,0.6466165413533834,0.9742647058823529,0.9247311827956989,0.7610619469026548,0.8104406236178682
0.65,0.631578947368421,0.9742647058823529,0.9230769230769231,0.75,0.802921826625387
0.655,0.6165413533834586,0.9779411764705882,0.9318181818181818,0.7420814479638009,0.7972412649270234
0.66,0.6165413533834586,0.9779411764705882,0.9318181818181818,0.7420814479638009,0.7972412649270234
0.665,0.6015037593984962,0.9816176470588235,0.9411764705882353,0.7339449541284404,0.7915607032286598
0.67,0.6015037593984962,0.9816176470588235,0.9411764705882353,0.7339449541284404,0.7915607032286598
0.675,0.5939849624060151,0.9816176470588235,0.9404761904761905,0.728110599078341,0.7878013047324193
0.68,0.5864661654135338,0.9852941176470589,0.9512195121951219,0.7255813953488373,0.7858801415302963
0.685,0.5789473684210527,0.9889705882352942,0.9625,0.7230046948356808,0.7839589783281734
0.69,0.5789473684210527,0.9889705882352942,0.9625,0.7230046948356808,0.7839589783281734
0.695,0.5789473684210527,0.9889705882352942,0.9625,0.7230046948356808,0.7839589783281734
0.7,0.5789473684210527,0.9889705882352942,0.9625,0.7230046948356808,0.7839589783281734
0.705,0.5714285714285714,0.9889705882352942,0.9620253164556962,0.7169811320754716,0.7801995798319328
0.71,0.5639097744360902,0.9889705882352942,0.9615384615384616,0.7109004739336493,0.7764401813356923
0.715,0.556390977443609,0.9889705882352942,0.961038961038961,0.7047619047619048,0.7726807828394515
0.72,0.5413533834586466,0.9889705882352942,0.96,0.6923076923076923,0.7651619858469704
0.725,0.5338345864661654,0.9889705882352942,0.9594594594594594,0.6859903381642513,0.7614025873507297
0.73,0.518796992481203,0.9889705882352942,0.9583333333333334,0.6731707317073171,0.7538837903582486
0.735,0.5112781954887218,0.9889705882352942,0.9577464788732394,0.6666666666666666,0.750124391862008
0.74,0.5112781954887218,0.9889705882352942,0.9577464788732394,0.6666666666666666,0.750124391862008
0.745,0.48120300751879697,0.9889705882352942,0.9552238805970149,0.64,0.7350867978770456
0.75,0.47368421052631576,0.9889705882352942,0.9545454545454546,0.6331658291457286,0.7313273993808049
0.755,0.44360902255639095,0.9889705882352942,0.9516129032258065,0.6051282051282051,0.7162898053958425
0.76,0.44360902255639095,0.9926470588235294,0.9672131147540983,0.6082474226804123,0.7181280406899602
0.765,0.44360902255639095,0.9926470588235294,0.9672131147540983,0.6082474226804123,0.7181280406899602
0.77,0.43609022556390975,0.9926470588235294,0.9666666666666667,0.6010362694300518,0.7143686421937196
0.775,0.42857142857142855,0.9926470588235294,0.9661016949152542,0.59375,0.710609243697479
0.78,0.42857142857142855,0.9926470588235294,0.9661016949152542,0.59375,0.710609243697479
0.785,0.42105263157894735,0.9926470588235294,0.9655172413793104,0.5863874345549738,0.7068498452012384
0.79,0.41353383458646614,0.9926470588235294,0.9649122807017544,0.5789473684210527,0.7030904467049978
0.795,0.41353383458646614,0.9963235294117647,0.9821428571428571,0.582010582010582,0.7049286819991154
0.8,0.40601503759398494,0.9963235294117647,0.9818181818181818,0.574468085106383,0.7011692835028749
0.805,0.39097744360902253,0.9963235294117647,0.9811320754716981,0.5591397849462365,0.6936504865103936
0.81,0.38345864661654133,0.9963235294117647,0.9807692307692307,0.5513513513513514,0.689891088014153
0.815,0.3609022556390977,0.9963235294117647,0.9795918367346939,0.5274725274725275,0.6786128925254312
0.82,0.3383458646616541,0.9963235294117647,0.9782608695652174,0.5027932960893855,0.6673346970367094
0.825,0.3233082706766917,0.9963235294117647,0.9772727272727273,0.4858757062146893,0.6598159000442282
0.83,0.3157894736842105,1.0,1.0,0.48,0.6578947368421053
0.835,0.3082706766917293,1.0,1.0,0.47126436781609193,0.6541353383458647
0.84,0.2857142857142857,1.0,1.0,0.4444444444444444,0.6428571428571428
0.845,0.2781954887218045,1.0,1.0,0.43529411764705883,0.6390977443609023
0.85,0.2706766917293233,1.0,1.0,0.4260355029585799,0.6353383458646616
0.855,0.2706766917293233,1.0,1.0,0.4260355029585799,0.6353383458646616
0.86,0.24060150375939848,1.0,1.0,0.3878787878787879,0.6203007518796992
0.865,0.24060150375939848,1.0,1.0,0.3878787878787879,0.6203007518796992
0.87,0.22556390977443608,1.0,1.0,0.36809815950920244,0.612781954887218
0.875,0.20300751879699247,1.0,1.0,0.3375,0.6015037593984962
0.88,0.19548872180451127,1.0,1.0,0.3270440251572327,0.5977443609022557
0.885,0.15037593984962405,1.0,1.0,0.26143790849673204,0.575187969924812
0.89,0.12781954887218044,1.0,1.0,0.22666666666666666,0.5639097744360902
0.895,0.10526315789473684,1.0,1.0,0.19047619047619047,0.5526315789473684
0.9,0.08270676691729323,1.0,1.0,0.1527777777777778,0.5413533834586466
0.905,0.07518796992481203,1.0,1.0,0.13986013986013987,0.5375939849624061
0.91,0.06766917293233082,1.0,1.0,0.1267605633802817,0.5338345864661654
0.915,0.06015037593984962,1.0,1.0,0.11347517730496454,0.5300751879699248
0.92,0.045112781954887216,1.0,1.0,0.08633093525179857,0.5225563909774436
0.925,0.045112781954887216,1.0,1.0,0.08633093525179857,0.5225563909774436
0.93,0.022556390977443608,1.0,1.0,0.04411764705882353,0.5112781954887218
0.935,0.022556390977443608,1.0,1.0,0.04411764705882353,0.5112781954887218
0.94,0.007518796992481203,1.0,1.0,0.014925373134328358,0.5037593984962406
0.945,0.0,1.0,0.0,0.0,0.5
0.95,0.0,1.0,0.0,0.0,0.5
